Date,Area,No.,草高,第3葉柄長,葉数,蕾数,花数,肥大果数,緑果数,白熟果実数
12月22日,area1,1,14,10,8.333333333,3,3,0,4,3
12月22日,,2,14.5,9.6,12,5,1,1,3,4
12月22日,,3,15.8,12.5,14,10,4,1,4,5
12月22日,,4,16.6,9.7,13.33333333,2,3,5,1,1
12月22日,,5,17.9,10.5,10.66666667,6,5,2,4,2
12月22日,area2,1,10,6.5,11.33333333,1,1,3,1,0
12月22日,,2,12.3,8.5,7.666666667,4,1,4,8,1
12月22日,,3,14.5,7,14,3,1,3,8,0
12月22日,,4,11.7,7.1,14.33333333,7,2,0,4,5
12月22日,,5,14.5,7.7,13.66666667,3,0,3,6,1
12月22日,area3,1,20.5,11,16.33333333,8,2,1,7,3
12月22日,,2,16,12,16,5,3,3,4,4
12月22日,,3,18,12.5,11.66666667,7,3,1,5,0
12月22日,,4,19.5,6.5,20.66666667,12,2,5,2,3
12月22日,,5,17,6,15.66666667,11,1,3,4,1
